index,place_name,인스타감성,조용한,아늑한,로맨틱한,감성적인
1,겟백,1,1,,,1
2,공차 경기대후문점,,1,,,
3,광교벅스,1,1,,,
4,나니행,1,,1,,
5,내리다커피 광교역점,1,1,1,,
6,덤보베이커리하우스,,,,,
7,디저트39 수원경기대점,,,,,
8,메가MGC커피 광교역점,1,1,1,,
9,메가MGC커피 수원경기대점,,,,,
10,메가MGC커피 수원광교초점,,,,,
11,메이홈 광교점,,,,,
12,베이스캠프,,,,,
13,블랙울프 광교역점,,,,,
14,블레스롤 광교카페거리점,,,,,
15,빽다방 광교경기대후문점, ,,,,
16,생폴드카페,,,,,
17,샹델,,,,,
18,스타벅스 광교역점,1,1,,,
19,스타벅스 광교이마트점,1,,,,
20,아미스타,,,1,,
21,여민동락,1,1,,,
22,오이소,,1,1,,
23,옥루몽 광교아브뉴프랑점,,,,,
24,요거트퍼플 경기대점,,,,,
25,웨시커피,,,,,
26,이디야커피 광교플렉스데시앙점,1,,,,
27,이디야커피 수원광교역점,,1,1,,
28,제노카페,,,,,
29,제리베이크,,,,,
30,카페도기,1,,,1,
31,카페몽글,,,,,
32,카페보스 수원경기대점,,,,,
33,카페오르카,1,1,1,1,
34,카페워터쿨러,,,,,
35,커피멍냥 광교역점,,,,,
36,컴포즈커피 광교역경기대점,1,1,,,
37,타르테은,,,,,
38,타짜도르 수원광교점,,,,,
39,탐앤탐스 광교역경기대점,,,,,
40,터닌트,,,,,
41,투썸플레이스 광교역점,1,1,,,
42,파란만잔 광교플렉스데시앙점,,,,,
43,파운드,,,,,
44,해피누디,,,,,
45,헤르츠,,1,1,,
