index,place_name,가성비가 좋은,친절한,아늑한,조용한,청결한,감성적인
1,BBQ 수원경기대점,,,,,,
2,갈풍집,1,1,,,,
3,경기대수련반점,1,1,,1,,
4,고베맨숀,1,1,,,1,
5,광교면옥,,,,,,
6,교동반점 광교점,1,1,,1,1,
7,국수집,1,1,1,1,1,1
8,늘이맛콩나물국밥국수,,,,,,
9,달인대보칼국수 광교점,,,,,,
10,돈블랑 광교점,,,,,,
11,동경당 광교점,1,,,,1,
12,동진참치,1,1,1,1,1,1
13,등촌샤브칼국수 경기대역점,,,,,,
14,롯데리아 경기대역점,1,1,,,1,
15,마라도해물탕&찜 광교점,,,,,,
16,맘스터치 광교역점,1,1,,,1,
17,맥도날드 동수원GS DT점,,1,,,,
18,몽소 베이커리앤카페 광교점,,1,1,1,1,
19,방콕스토리,1,1,1,1,1,1
20,배대감갈비촌 본점,,,,,,
21,상원회관 광교점,,,,,1,
22,석기정돌솥부대찌개 경기대점,,,,,,
23,송도갈비 광교월드마크점,,,,,,
24,수원조개창고,1,1,,1,1,
25,스이센 광교,1,1,1,1,,
26,써브웨이 광교경기대후문점,1,1,,,1,
27,어랑다랑,1,1,,1,1,
28,역북집 경기대점,,,,,,
29,역전할머니맥주 수원경기대점,,,,,1,
30,오늘의초밥,,,,,,
31,유가네닭갈비 경기대점,,,,,1,
32,이찌방회전초밥,1,1,,1,1,
33,조선부뚜막 광교역점,,,,,,
34,중화식탁,,,,,,
35,진배기고깃간 광교점,,,,,1,
36,징기스칸램 광교점,,,,,1,
37,착한고기 광교점,1,1,,,1,
38,춘천에서 온 숯닭,1,1,,,1,
39,카타르시스,1,,,1,,
40,키친토리노,1,1,1,1,1,
41,화이트리에 광교,,,,,,
42,황가네짬뽕,1,1,1,1,1,
43,황금무지개 횟집,,,,,,
44,황금입은동까스,1,1,,,1,
45,희주반가72,,,,,,
