index,place_name,category,address,phone,api_distance,haversine_m,lat,lon
1,GS더프레시 광교신대점,GS더프레시,경기 용인시 수지구 상현동 1132,031-8019-9504,2716,2710,37.298310258898205,127.0706520028826
2,GS더프레시 광교호수공원점,GS더프레시,경기 수원시 영통구 원천동 605,031-212-7180,3512,3516,37.27262959,127.0594726
3,GS더프레시 수원매교역점,GS더프레시,경기 수원시 팔달구 매교동 209-14,031-232-5680,4295,4299,37.26638743,127.0166324
4,GS더프레시 수원매탄점,GS더프레시,경기 수원시 영통구 매탄동 1352,031-211-2034,3969,3977,37.2644927,127.0416268
5,GS더프레시 수원센트럴점,GS더프레시,경기 수원시 팔달구 인계동 847-3,031-234-6478,3472,3476,37.27314643,127.0205204
6,GS더프레시 수원팔달점,GS더프레시,경기 수원시 팔달구 매교동 287-110,031-231-2428,4305,4309,37.26778624737168,127.0134951477257
7,GS더프레시 수원한일타운점,GS더프레시,경기 수원시 장안구 조원동 881,031-244-2445,3186,3180,37.30553594,127.004777
8,GS더프레시 수원화서점,GS더프레시,경기 수원시 장안구 정자동 950,031-268-0107,4096,4089,37.28886228,126.99615444559461
9,GS더프레시 수지상현동점,GS더프레시,경기 용인시 수지구 상현동 263,031-262-4246,4070,4062,37.30667933,127.0853136
10,GS더프레시 수지풍덕천점,GS더프레시,경기 용인시 수지구 풍덕천동 1209,031-276-5863,4246,4239,37.31448283181842,127.0845643338636
11,GS더프레시 용인신봉점,GS더프레시,경기 용인시 수지구 신봉동 964-1,031-8007-3891,3983,3985,37.32838924956521,127.0679902455994
12,GS더프레시 용인영덕점,GS더프레시,경기 용인시 기흥구 영덕동 751-3,031-212-6290,4188,4191,37.27010537,127.0685545
13,노브랜드 수원이의점,노브랜드,경기 수원시 영통구 이의동 1347-5,02-380-5111,1439,1441,37.28866091936708,127.0474264969584
14,노브랜드 스타필드수원점,노브랜드,경기 수원시 장안구 정자동 111-14,02-380-5111,4454,4446,37.288030429552855,126.99224920690558
15,노브랜드 용인상현점,노브랜드,경기 용인시 수지구 상현동 1129,02-380-5111,3057,3050,37.30059737760571,127.07458826966919
16,노브랜드 용인신봉점,노브랜드,경기 용인시 수지구 신봉동 971-5,02-380-5111,3931,3932,37.32761781,127.0682536
17,롯데마트 광교점,롯데마트,경기 수원시 영통구 이의동 1332,031-410-2500,1344,1345,37.29067662561767,127.04942388945621
18,롯데마트 롯데몰수지점,롯데마트,경기 용인시 수지구 성복동 789,031-5174-2500,3952,3945,37.312337443366864,127.08204067466941
19,롯데슈퍼프레시 수원우만점,롯데슈퍼프레시,경기 수원시 팔달구 우만동 514-5,031-248-5604,1841,1844,37.28483026,127.03240693388464
20,롯데슈퍼프레시 수지점1,롯데슈퍼프레시,경기 용인시 수지구 상현동 193-1,031-276-5603,3326,3320,37.30844094815942,127.0762006262625
21,롯데슈퍼프레시 용인성복점,롯데슈퍼프레시,경기 용인시 수지구 성복동 464-3,031-896-5604,2642,2641,37.316659451815305,127.06168463840483
22,롯데슈퍼프레시 인계점,롯데슈퍼프레시,경기 수원시 팔달구 인계동 362,031-217-5604,3302,3309,37.270688581696874,127.03567275327275
23,롯데프레시&델리 우만점,롯데슈퍼프레시,경기 수원시 팔달구 우만동 559-7,031-216-5603,2357,2361,37.27996805188941,127.03215903327794
24,롯데프레시&델리 정자점,롯데슈퍼프레시,경기 수원시 장안구 정자동 874-2,031-246-9093,3963,3955,37.29647873443043,126.99565216809928
25,맘스식자재마트,기타,경기 용인시 수지구 신봉동 31-1,,4104,4101,37.32292098,127.0766727
26,이마트 광교점,이마트,경기 수원시 영통구 이의동 1240,031-328-9123,743,743,37.29632265,127.04691813955174
27,이마트 수지점,이마트,경기 용인시 수지구 신봉동 909,031-270-1234,4406,4401,37.31981961,127.0833553
28,이마트 흥덕점,이마트,경기 용인시 기흥구 영덕동 985-3,031-8021-1234,4007,4006,37.275754736165524,127.0733302312074
29,이마트에브리데이 광교점,이마트에브리데이,경기 수원시 영통구 이의동 1335,02-380-5060,2045,2045,37.28818338,127.0575587
30,이마트에브리데이 광교하동점,이마트에브리데이,경기 수원시 영통구 하동 965-7,031-548-4934,2773,2768,37.29339087,127.0701906
31,이마트에브리데이 매탄동점,이마트에브리데이,경기 수원시 영통구 매탄동 810-3,02-380-5060,3877,3885,37.26531101,127.0411493
32,이마트에브리데이 상현동점,이마트에브리데이,경기 용인시 수지구 상현동 257-22,02-380-5060,4058,4050,37.30804024,127.0848357
33,킴스클럽 동수원,기타,경기 수원시 팔달구 인계동 1114-1,031-231-6000,3781,3789,37.26650623,127.0340969
34,트레이더스 홀세일클럽 수원화서점,기타,경기 수원시 장안구 정자동 111-14,031-690-1888,4522,4514,37.287367229131675,126.99171699757969
35,하나로마트 광교점,기타,경기 용인시 수지구 상현동 1118,031-212-7110,2562,2556,37.296119276764706,127.06854202696621
36,홈플러스 동수원점,홈플러스,경기 수원시 팔달구 인계동 1045,031-231-8000,4233,4241,37.26288504,127.0304247
37,홈플러스 메가푸드마켓 북수원점,홈플러스,경기 수원시 장안구 조원동 896,031-259-8000,2791,2785,37.30272898082712,127.00877533886627
38,홈플러스 원천점,홈플러스,경기 수원시 영통구 원천동 177-1,031-252-2080,3948,3951,37.27005853,127.0636873
39,홈플러스익스프레스 상현점,홈플러스익스프레스,경기 용인시 수지구 상현동 252,,4026,4017,37.30586324,127.0849732
40,홈플러스익스프레스 수원광교점,홈플러스익스프레스,경기 수원시 영통구 이의동 1202-2,031-217-8544,791,791,37.304641832049754,127.0471297249567
41,홈플러스익스프레스 수원매탄2점,홈플러스익스프레스,경기 수원시 영통구 매탄동 153-23,031-217-8545,2871,2877,37.27451158,127.0435536
42,홈플러스익스프레스 수원연무점,홈플러스익스프레스,경기 수원시 장안구 연무동 245-32,031-256-8546,1159,1160,37.2926372,127.0311314
43,홈플러스익스프레스 수원정자점,홈플러스익스프레스,경기 수원시 장안구 정자동 454,031-268-8545,4256,4247,37.3038968,126.9923164
44,홈플러스익스프레스 용인신봉점,홈플러스익스프레스,경기 용인시 수지구 신봉동 46-3,031-265-8546,4328,4325,37.323710484447794,127.07910943560266
45,홈플러스익스프레스 화서점,홈플러스익스프레스,경기 수원시 팔달구 화서동 212-2,031-255-8543,4402,4397,37.28124851,126.9965179
