index,place_name,category,address,phone,api_distance,haversine_m,lat,lon,csv_name
1,365별약국,약국,경기 수원시 영통구 하동 1016,031-212-1705,2259,2257,37.288205260351546,127.0606577335872,약국
2,건강드림약국,약국,경기 수원시 영통구 원천동 29-47,031-215-3321,2400,2405,37.27894422,127.0448416,약국
3,광교대림약국,약국,경기 수원시 영통구 이의동 1325-5,031-214-2234,1332,1332,37.29186988,127.05088513648663,약국
4,광교마트약국,약국,경기 수원시 영통구 이의동 1240,031-211-8273,744,744,37.29634966,127.0469542,약국
5,광교사임당약국,약국,경기 수원시 영통구 이의동 1248,031-217-1248,456,455,37.30088076353453,127.04518737642184,약국
6,광교약국,약국,경기 수원시 장안구 연무동 230-32,031-244-4124,1301,1299,37.29511068,127.0269098,약국
7,광교중앙약국,약국,경기 수원시 영통구 이의동 1332,031-215-8797,1403,1404,37.29026197897285,127.0498273524947,약국
8,광교프라자약국,약국,경기 수원시 영통구 이의동 1322-5,070-7733-0730,1249,1250,37.29243779558159,127.05027651679633,약국
9,길약국,약국,경기 수원시 팔달구 우만동 492-15,031-245-5599,1840,1843,37.285867158341816,127.02973702323531,약국
10,다정약국,약국,경기 수원시 장안구 연무동 246-22,031-256-3811,1177,1178,37.29260123,127.0308832,약국
11,도병원약국,약국,경기 수원시 영통구 원천동 35-1,031-215-1919,2483,2488,37.27835271,127.0459508,약국
12,도청약국,약국,경기 수원시 영통구 이의동 1336,031-211-1826,1995,1995,37.28792078848175,127.05649849469198,약국
13,동문솔약국,약국,경기 수원시 영통구 원천동 556,031-307-7579,2419,2423,37.28013395006849,127.05065735311082,약국
14,동백꽃길약국,약국,경기 수원시 장안구 연무동 56-118,,939,938,37.2971282,127.030249,약국
15,명성약국,약국,경기 수원시 장안구 연무동 56-118,031-268-5875,940,939,37.2971282,127.0302355,약국
16,민준약국,약국,경기 수원시 팔달구 우만동 514-5,031-246-1288,1831,1834,37.28496545344169,127.03227956510497,약국
17,봄약국,약국,경기 수원시 영통구 이의동 1330,031-214-8681,1170,1170,37.2925437,127.0491353,약국
18,성신약국,약국,경기 수원시 장안구 연무동 233-21,031-255-1531,1361,1360,37.29574346,127.0258126742658,약국
19,센트럴약국,약국,경기 수원시 영통구 하동 1016-1,010-2642-7810,2240,2239,37.28749122337083,127.05970086408999,약국
20,소명온누리약국,약국,경기 수원시 장안구 조원동 734-17,031-253-9682,2052,2047,37.30018717,127.0169636,약국
21,소화약국,약국,경기 수원시 장안구 영화동 116-29,031-246-0177,2017,2014,37.2923189,127.0196279,약국
22,수약국,약국,경기 수원시 영통구 이의동 1322-3,031-211-3222,1163,1163,37.2936902,127.050354,약국
23,엘메디컬약국,약국,경기 수원시 영통구 이의동 1336-1,031-215-1137,2141,2141,37.28708761,127.0577835,약국
24,연무그린약국,약국,경기 수원시 장안구 연무동 260-22,031-252-8280,1483,1483,37.29173533015368,127.02720071924276,약국
25,연무나눔약국,약국,경기 수원시 장안구 연무동 249-34,031-244-4902,1448,1447,37.29388100635212,127.02583797739162,약국
26,연무우리약국,약국,경기 수원시 장안구 연무동 245-36,031-252-2713,1102,1102,37.29274511,127.0319513,약국
27,영창약국,약국,경기 수원시 팔달구 우만동 473-9,031-245-6154,1858,1859,37.28708779,127.027128,약국
28,우리대학약국,약국,경기 수원시 영통구 원천동 38-26,031-217-8175,2429,2434,37.2787494,127.0453557,약국
29,우리들약국,약국,경기 수원시 장안구 조원동 731-1,031-255-9659,2166,2162,37.30286789971468,127.0158926416145,약국
30,우리약국,약국,경기 수원시 영통구 이의동 1335,031-214-6860,2030,2030,37.28821951217936,127.05737382784889,약국
31,원광약국,약국,경기 수원시 영통구 이의동 1257-1,031-202-7798,324,323,37.30026139,127.0437625,약국
32,월드컵세란약국,약국,경기 수원시 팔달구 우만동 499-2,031-257-5674,1552,1554,37.28743227838651,127.03307339696383,약국
33,웰빙약국,약국,경기 수원시 영통구 이의동 1202,031-213-5682,821,821,37.30510227,127.0470996,약국
34,은혜온누리약국,약국,경기 수원시 장안구 연무동 246-24,031-241-6233,1219,1219,37.29250766,127.0303374,약국
35,이지약국,약국,경기 수원시 영통구 이의동 1351-4,031-8019-5308,1158,1159,37.291456945826766,127.04716322668676,약국
36,이화자유약국,약국,경기 수원시 영통구 이의동 1332,,1330,1330,37.29156731,127.0504699,약국
37,자연앤약국,약국,경기 수원시 영통구 이의동 1347-3,031-214-7525,1377,1379,37.28919829721388,127.0472045579741,약국
38,조원약국,약국,경기 수원시 장안구 조원동 739-28,031-254-6028,2007,2003,37.29969332541518,127.01747327575863,약국
39,참약사광교이레약국,약국,경기 수원시 영통구 이의동 1333,031-8004-7774,1573,1574,37.28921706,127.0512758,약국
40,참약사순수약국,약국,경기 수원시 영통구 이의동 1348,031-8019-8690,1336,1338,37.28946127912306,127.04682929848238,약국
41,튼튼온누리약국,약국,경기 수원시 영통구 이의동 1331,031-211-2010,1259,1260,37.29124454931906,127.04877354111868,약국
42,팜프라자아울렛약국,약국,경기 수원시 영통구 이의동 1338,031-8064-2080,2070,2070,37.286627999778375,127.05607464248075,약국
43,푸름약국,약국,경기 수원시 장안구 조원동 742,031-255-0615,2154,2150,37.300773000286654,127.01581663107963,약국
44,한마음약국,약국,경기 수원시 팔달구 우만동 552,031-217-7591,2017,2021,37.28291533146411,127.03321237521702,약국
45,호수약국,약국,경기 수원시 영통구 이의동 1340,031-212-7579,1997,1999,37.28610903,127.0540704,약국
