index,place_name,category,address,phone,api_distance,haversine_m,lat,lon,csv_name
1,CU ATM 광교대학로점,ATM,경기 수원시 영통구 이의동 1244-3,,617,616,37.29895729,127.0468837,은행
2,CU ATM 광교센트럴비즈점,ATM,경기 수원시 영통구 이의동 1283,,581,582,37.29545743,127.0374258,은행
3,CU ATM 광교중앙점,ATM,경기 수원시 영통구 이의동 1257-3,,296,296,37.29993894,127.0434284,은행
4,CU 연무프리미엄점 ATM,ATM,경기 수원시 장안구 연무동 56-98,,910,909,37.297166860205564,127.03058059314138,은행
5,CU광교타운점 ATM,ATM,경기 수원시 영통구 이의동 1272-4,,423,423,37.298372620348495,127.04428019599735,은행
6,IBK기업은행 광교중앙,은행,경기 수원시 영통구 이의동 1335,031-220-8300,2030,2030,37.28821951,127.057375,은행
7,IBK기업은행 상수도사업소(출),은행,경기 수원시 장안구 하광교동 416-1,031-232-9944,1080,1078,37.30022113,127.0279245,은행
8,IBK기업은행365 광교에듀타운점365,ATM,경기 수원시 영통구 이의동 1347-3,,1378,1380,37.28924933,127.0473536,은행
9,IBK기업은행365 우만주공4단지,ATM,경기 수원시 팔달구 우만동 300,,1195,1196,37.29214701738786,127.03120560554453,은행
10,KB국민은행 광교월드스퀘어 365자동화점 ATM,ATM,경기 수원시 영통구 이의동 1331,,1219,1220,37.29135471105209,127.04819957951163,은행
11,KB국민은행 광교웰빙카운티 365자동화점 ATM,ATM,경기 수원시 영통구 이의동 1204,,737,737,37.305110004747554,127.04576630013402,은행
12,KB국민은행 수원보훈요양원 365자동화점 ATM,ATM,경기 수원시 장안구 영화동 15-2,,1240,1238,37.29832030992327,127.02632335192423,은행
13,KB국민은행 아주대학교(점),은행,경기 수원시 영통구 원천동 산 5-1,1588-9999,1915,1918,37.283564438485406,127.0456585272868,은행
14,KB국민은행 이마트광교점 ATM,ATM,경기 수원시 영통구 이의동 1240,,749,749,37.296376657957865,127.04704449124827,은행
15,KB국민은행ATM 경기남부경찰청,ATM,경기 수원시 장안구 연무동 11-2,,824,824,37.29470883,127.0339067,은행
16,NH농협은행 365코너 수원농협도청역지점,ATM,경기 수원시 영통구 이의동 1325-4,,1296,1296,37.29208986,127.0505876,은행
17,NH농협은행 광교중앙금융센터,은행,경기 수원시 영통구 이의동,031-257-5680,1699,1700,37.28850023353911,127.05241318741743,은행
18,NH농협은행 수원연무지점,은행,경기 수원시 장안구 연무동 234-2,031-243-3886,1345,1344,37.29526220337556,127.02626251162918,은행
19,NH농협은행 한국나노기술원 출장소,은행,경기 수원시 영통구 이의동 906-10,031-546-6379,793,795,37.29322948364865,127.0418479138807,은행
20,SC제일은행 365코너 이마트 광교점,ATM,경기 수원시 영통구 이의동 1240,,744,744,37.29634966,127.0469542,은행
21,기업은행 광교홍재도서관 ATM,ATM,경기 수원시 영통구 이의동 1209,,718,717,37.303090147991576,127.04738028744416,은행
22,기업은행 장애인종합복지관 ATM,ATM,경기 수원시 영통구 이의동 1088-13,,595,596,37.29585966581736,127.0362203566202,은행
23,농협은행 한국나노기술원<출> ATM,ATM,경기 수원시 영통구 이의동 906-10,,793,795,37.29322948365876,127.04184791388094,은행
24,롯데ATM 세븐일레븐 광교월드마크1호,ATM,경기 수원시 영통구 이의동 1331,,1108,1109,37.29259456,127.0481575,은행
25,수원새마을금고 광교지점,은행,경기 수원시 영통구 이의동 1258-3,031-259-9450,352,351,37.29962426319655,127.04400459690538,은행
26,수원새마을금고 연무지점,은행,경기 수원시 장안구 연무동 249,031-259-9370,1434,1432,37.293954861064805,127.02597672260951,은행
27,수원중앙새마을금고 광교지점,은행,경기 수원시 영통구 이의동 1329,031-240-3664,1101,1101,37.292953014800446,127.0485356,은행
28,신한 경기대학교 ATM 경기대학교Green365,ATM,경기 수원시 영통구 이의동 산 94-6,,589,588,37.301605424960115,127.0336864226186,은행
29,신한 경기대학교 ATM 점내,ATM,경기 수원시 영통구 이의동 산 94-6,,589,588,37.301605424960115,127.0336864226186,은행
30,신한 광교타운 ATM 이마트광교점,ATM,경기 수원시 영통구 이의동 1240,,744,744,37.29634966,127.04695424721848,은행
31,신한은행 365코너 경기대4강의동,ATM,경기 수원시 영통구 이의동 산 94-6,,331,331,37.30074863,127.0364201,은행
32,신한은행 365코너 경기대7강의동,ATM,경기 수원시 영통구 이의동 산 94-6,,160,161,37.30129298,127.03886,은행
33,신한은행 365코너 경기대기숙사,ATM,경기 수원시 영통구 이의동 934-11,,309,310,37.29773217796057,127.03857510017637,은행
34,신한은행 365코너 경기대미래관,ATM,경기 수원시 영통구 이의동 94-6,,589,588,37.30016924,127.0334625,은행
35,신한은행 365코너 경기대종합강의동,ATM,경기 수원시 영통구 이의동 산 94-6,,285,285,37.30157008,127.0373567,은행
36,신한은행 경기대학교 출장소,은행,경기 수원시 영통구 이의동 산 94-6,,489,490,37.303009518455404,127.03580531968349,은행
37,우리은행 ATM,ATM,경기 수원시 영통구 이의동 1330-1,,1231,1232,37.29215514488353,127.04962447325659,은행
38,우리은행 광교도청역지점,은행,경기 수원시 영통구 이의동 1330-1,031-248-1747,1251,1252,37.29207936104983,127.04985448988045,은행
39,우체국365코너,ATM,경기 수원시 영통구 이의동 산 94-1,,487,487,37.30305815,127.0358911,은행
40,팔달새마을금고 우만지점,은행,경기 수원시 팔달구 우만동 485-10,031-252-5133,1678,1680,37.28779728313134,127.02933631707518,은행
41,하나은행 경기도청(점),은행,경기 수원시 영통구 이의동,031-243-1111,1702,1702,37.28928543,127.0535437,은행
42,하나은행 광교금융센터지점,은행,경기 수원시 영통구 이의동,031-213-1111,1685,1685,37.28846703006197,127.0521075515782,은행
43,하나은행365 수원연무동지점,ATM,경기 수원시 장안구 하광교동 428-2,,1215,1213,37.29901047,127.0264883,은행
44,한국수출입은행 수원지점,은행,경기 수원시 영통구 이의동 906-5,031-259-6617,925,927,37.29222261816134,127.0429819014964,은행
45,한국은행 경기본부,은행,경기 수원시 영통구 이의동,031-250-0114,1819,1819,37.289306203059056,127.05540111663622,은행
