index,place_name,category,address,phone,api_distance,haversine_m,lat,lon
1,BBQ 수원경기대점,치킨,경기 수원시 영통구 이의동 1254-2,031-215-6170,256,256,37.299242693569894,127.04272197113973
2,갈풍집,한식 - 육류,경기 수원시 영통구 이의동 1266-7,031-217-1301,563,563,37.29807107,127.045859
3,경기대수련반점,중식,경기 수원시 영통구 이의동 1275-11,031-214-8255,353,354,37.29749219437304,127.0421209610189
4,고베맨숀,한식 - 육류,경기 수원시 영통구 이의동 1262-1,031-215-4695,515,514,37.299359572607884,127.04581469841268
5,광교면옥,한식 - 일반,경기 수원시 영통구 이의동 1263-4,031-215-2226,543,542,37.29879547,127.0459632
6,교동반점 광교점,중식,경기 수원시 영통구 이의동 1266-2,031-212-1128,485,485,37.29806065,127.044853
7,국수집,한식 - 일반,경기 수원시 장안구 연무동 24-1,031-258-1635,950,949,37.298071718517164,127.02972829276482
8,늘이맛콩나물국밥국수,한식 - 일반,경기 수원시 영통구 이의동 1258,031-211-6500,333,333,37.29927929,127.0436717
9,달인대보칼국수 광교점,한식 - 일반,경기 수원시 영통구 이의동 1250,031-215-2249,512,511,37.30035519032472,127.04588636001688
10,돈블랑 광교점,한식 - 육류,경기 수원시 영통구 이의동 1248-2,031-215-8295,518,518,37.300729104204436,127.04592831968546
11,동경당 광교점,일식,경기 수원시 영통구 이의동 1262-14,031-211-6223,483,483,37.29915610003809,127.04539500284336
12,동진참치,일식,경기 수원시 영통구 이의동 1263-9,031-212-3423,515,514,37.29868749,127.0455842
13,등촌샤브칼국수 경기대역점,한식 - 일반,경기 수원시 영통구 이의동 1254,,193,193,37.29979701,127.04222037284923
14,롯데리아 경기대역점,패스트푸드,경기 수원시 영통구 이의동 1250,031-217-0026,485,484,37.30063013406676,127.0455560511352
15,마라도해물탕&찜 광교점,한식 - 해물,경기 수원시 영통구 이의동 1248,031-212-7156,455,454,37.3008285,127.045193
16,맘스터치 광교역점,패스트푸드,경기 수원시 영통구 이의동 1254-2,031-214-3459,262,262,37.29921654233509,127.0427806062676
17,맥도날드 동수원GS DT점,패스트푸드,경기 수원시 영통구 이의동 835,031-890-4000,948,947,37.29485605773896,127.04840933182666
