index,place_name,category,address,phone,api_distance,haversine_m,lat,lon
10,대성산업 수원주유소,GS칼텍스,경기 수원시 장안구 조원동 763-23,031-243-3535,2358,2353,37.29818369,127.0136292
14,동문A주유소,GS칼텍스,경기 수원시 영통구 이의동 422-5,031-258-0282,889,889,37.295086073374094,127.04779143311461
15,동문B주유소,GS칼텍스,경기 수원시 영통구 이의동 422-10,031-256-8879,1037,1037,37.29485103,127.0496736
22,성광주유소,GS칼텍스,경기 수원시 영통구 이의동 1090-4,031-241-5185,714,715,37.29483533359258,127.03573603172603
26,수지주유소,GS칼텍스,경기 용인시 수지구 풍덕천동 1035,031-266-0039,4109,4103,37.31580904,127.082164
31,인계동주유소,GS칼텍스,경기 수원시 팔달구 인계동 452-42,031-215-8101,3712,3719,37.267286869791235,127.03290900216645
34,지에스이앤알직영 흥덕주유소,GS칼텍스,경기 용인시 기흥구 영덕동 1027,031-215-8053,4258,4256,37.27590362,127.0772407
39,하늘에너지 대창주유소,GS칼텍스,경기 수원시 팔달구 우만동 489-14,031-252-5151,1913,1914,37.2862263,127.0275427
40,하늘에너지 평화주유소,GS칼텍스,경기 수원시 팔달구 지동 472-1,031-258-6600,2073,2075,37.28427636,127.0279615
41,한미석유 매탄동주유소,GS칼텍스,경기 수원시 영통구 매탄동 825-13,031-217-5108,4123,4131,37.26393442,127.0499915
42,한미석유직영 동수원톨게이트주유소,GS칼텍스,경기 수원시 영통구 이의동 832-4,031-256-5691,865,865,37.29570047884226,127.0480433280125
44,효현 아주주유소,GS칼텍스,경기 수원시 팔달구 우만동 22,031-216-5189,2009,2014,37.28213201,127.0400534
2,HD현대오일뱅크 수원제일주유소,HD현대오일뱅크주유소,경기 수원시 팔달구 인계동 369-7,031-216-5160,3185,3192,37.27177873,127.0354478
3,HD현대오일뱅크직영 동수원현대셀프주유소,HD현대오일뱅크주유소,경기 수원시 영통구 원천동 73-1,031-216-9663,2932,2937,37.2742763,127.0462279
4,HD현대오일뱅크직영 성복현대주유소,HD현대오일뱅크주유소,경기 용인시 수지구 성복동 54-6,031-272-6051,3887,3881,37.3140298,127.0804203
5,HD현대오일뱅크직영 송죽현대셀프주유소,HD현대오일뱅크주유소,경기 수원시 장안구 송죽동 200-5,031-258-7211,3302,3295,37.30545399,127.0034381
6,HD현대오일뱅크직영 수지현대셀프주유소,HD현대오일뱅크주유소,경기 용인시 수지구 상현동 373-3,031-261-1374,2692,2686,37.30135679,127.0704451
9,대명에너지 광교셀프직영점,HD현대오일뱅크주유소,경기 용인시 수지구 상현동 493-9,031-263-5188,2404,2398,37.29918178,127.0671902
11,대신주유소,HD현대오일뱅크주유소,경기 수원시 장안구 송죽동 440-4,031-245-8952,3542,3534,37.306137922345556,127.00084373390482
18,드림에너지 배트맨주유소,HD현대오일뱅크주유소,경기 수원시 장안구 영화동 66-3,031-258-0445,2126,2122,37.29463584775849,127.01717549067041
33,종로주유소,HD현대오일뱅크주유소,경기 수원시 팔달구 팔달로1가 7-4,,2965,2965,37.28091215,127.0170179
