place_name,category,address,phone,api_distance,haversine_m,lat,lon
미래주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 영통구 이의동 1282,031-245-5188,530,531,37.2959259360529,127.037525292265
성광주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 이의동 1090-4,031-241-5185,714,715,37.29483533359258,127.03573603172603
한미석유직영 동수원톨게이트주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 이의동 832-4,031-256-5691,865,865,37.29570047884226,127.0480433280125
희망충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > SK LPG충전소",경기 수원시 영통구 이의동 1175-85,031-251-0707,872,873,37.2934289744034,127.035200790871
동문A주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 이의동 422-5,031-258-0282,889,889,37.295086073374094,127.04779143311461
동수원톨게이트충전소,"교통,수송 > 자동차 > 주유,가스 > LPG충전소 > GS칼텍스 LPG충전소",경기 수원시 영통구 이의동 432-1,031-257-7332,897,897,37.295772355620215,127.04854864228184
동문B주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 영통구 이의동 422-10,031-256-8879,1037,1037,37.2948510287189,127.049673612409
월드컵주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 영통구 이의동 1357,031-214-5189,1392,1395,37.28780062879308,127.04213134622859
대호주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > SK주유소",경기 수원시 영통구 이의동 27-1,031-243-6022,1517,1514,37.29645358871978,127.05655562870162
하늘에너지 대창주유소,"교통,수송 > 자동차 > 주유,가스 > 주유소 > GS칼텍스",경기 수원시 팔달구 우만동 489-14,031-252-5151,1913,1914,37.2862263027104,127.027542681397
